Component,Category,File Path,LOC Est,Dependencies,Test File,Test Coverage %,Complexity,Status,Owner,Notes
onboardingManager.ts,Services,src/services/onboardingManager.ts,587,configManager|cliExportStrategy|UI components,src/test/unit/services/onboardingManager.test.ts,23.54%,High,Active,DevTeam,Welcome flow - 4 tests passing
operationTimeoutManager.ts,Services,src/services/operationTimeoutManager.ts,454,None,None,0.74%,Medium,Active,DevTeam,Timeout handling - needs tests
progressTrackingService.ts,Services,src/services/progressTrackingService.ts,562,vscode.window.withProgress,src/test/unit/services/progressTrackingService.test.ts,60.29%,Medium,Active,DevTeam,Progress UI - needs more tests
visualEnhancementManager.ts,Services,src/services/visualEnhancementManager.ts,750,configManager|themeDetection,src/test/unit/services/visualEnhancementManager.test.ts,13.80%,Medium,Active,DevTeam,Theme integration - needs tests
errorHandlingService.ts,Services,src/services/errorHandlingService.ts,690,None,None,43.40%,Medium,Active,DevTeam,Error mapping - partial coverage
backgroundHealthMonitor.ts,Services,src/services/backgroundHealthMonitor.ts,295,cliExportStrategy|configManager,None,2.61%,Low,Active,DevTeam,CLI health checks - needs tests
statusBarManager.ts,UI,src/ui/statusBarManager.ts,578,vscode.window.createStatusBarItem,src/test/unit/ui/statusBarManager.test.ts,54.46%,Medium,Active,DevTeam,Format display - 18 tests passing
themeStatusBarManager.ts,UI,src/ui/themeStatusBarManager.ts,245,vscode.window.createStatusBarItem,src/test/unit/ui/themeStatusBarManager.test.ts,85.49%,Low,Active,DevTeam,Theme switching - 8 tests passing
batchExportStatusBarManager.ts,UI,src/ui/batchExportStatusBarManager.ts,408,statusBarItem|progressTracker,None,30.36%,Medium,Active,DevTeam,Batch progress - needs tests
errorHandler.ts,UI,src/ui/errorHandler.ts,206,vscode.window.showErrorMessage,src/test/unit/ui/errorHandler.test.ts,73.02%,Medium,Active,DevTeam,User messages - 6 tests passing
progressReporter.ts,UI,src/ui/progressReporter.ts,72,vscode.window.withProgress,None,0%,Low,Active,DevTeam,Progress wrapper - needs tests
pathUtils.ts,Utils,src/utils/pathUtils.ts,145,path|os,src/test/unit/utils/pathUtils.test.ts,96.70%,Medium,Active,DevTeam,Path normalization - 9 tests passing
autoNaming.ts,Utils,src/utils/autoNaming.ts,154,path|configManager,src/test/unit/utils/autoNaming.test.ts,55.29%,Low,Active,DevTeam,Output naming - 4 tests passing
validators.ts,Utils,src/utils/validators.ts,85,None,None,0%,Low,Active,DevTeam,Input validation - no tests
webviewUtils.ts,Utils,src/utils/webviewUtils.ts,51,vscode.Uri.asWebviewUri,None,0%,Low,Active,DevTeam,Webview helpers - no tests
mermaidCodeLensProvider.ts,Providers,src/providers/mermaidCodeLensProvider.ts,182,vscode.CodeLensProvider|diagramDiscovery,src/test/unit/providers/mermaidCodeLensProvider.test.ts,76.64%,Medium,Active,DevTeam,Inline buttons - 9 tests passing
mermaidHoverProvider.ts,Providers,src/providers/mermaidHoverProvider.ts,164,vscode.HoverProvider|configManager,None,1.62%,Low,Active,DevTeam,Hover info - needs tests

Summary,,,,,,,,,
Total Components,35,,9142 (est),,,25.56% (overall),,,Latest from Vitest V8 coverage
Components with Tests,14/35,40%,~4200,,,,,,,Test coverage improving
High Priority Gaps,8,CLI strategies/Commands/Services,~3500,,,<20%,High,,,Need urgent attention
Coverage Target,80%,By EOQ,All components,,,80%,,,8 weeks,Per roadmap
